;Open_time;Open;High;Low;Close;Volume;Close_time;Quote_asset_volume;N_trades;Taker_buy_base_vol;Taker_buy_quote_vol;Ignore
0;1623046500000;1.999960000000000;2.028220000000000;1.630180000000000;1.716970000000000;16633485.000000000000000;1623047399999;29948175.363979998975992;51010;9350527.000000000000000;17018848.306490000337362;0
1;1623047400000;1.715030000000000;1.826410000000000;1.695000000000000;1.797370000000000;7375569.000000000000000;1623048299999;13019221.884190000593662;31793;4002983.000000000000000;7079081.093930000439286;0
2;1623048300000;1.797370000000000;1.797370000000000;1.470000000000000;1.523150000000000;10561829.000000000000000;1623049199999;16901043.445310000330210;34142;4539936.000000000000000;7286697.440480000339448;0
3;1623049200000;1.523150000000000;1.616790000000000;1.470000000000000;1.606980000000000;7799804.000000000000000;1623050099999;12007488.520759999752045;25532;4005733.000000000000000;6192751.616519999690354;0
4;1623050100000;1.603050000000000;1.610000000000000;1.500760000000000;1.522430000000000;4228044.000000000000000;1623050999999;6589631.586389999836683;16058;2335332.000000000000000;3647452.444139999803156;0
5;1623051000000;1.522500000000000;1.585580000000000;1.514500000000000;1.537300000000000;3126123.000000000000000;1623051899999;4827234.018109999597073;11820;1777322.000000000000000;2747006.108320000115782;0
6;1623051900000;1.535600000000000;1.543990000000000;1.402150000000000;1.442410000000000;4923369.000000000000000;1623052799999;7153137.092260000295937;18950;1859635.000000000000000;2697898.738009999971837;0
7;1623052800000;1.442420000000000;1.552000000000000;1.431010000000000;1.517620000000000;5790408.000000000000000;1623053699999;8631463.974940000101924;19414;3699082.000000000000000;5512649.650790000334382;0
8;1623053700000;1.516990000000000;1.669410000000000;1.514770000000000;1.587730000000000;8475378.000000000000000;1623054599999;13571743.382869999855757;26206;4464635.000000000000000;7153162.768960000015795;0
9;1623054600000;1.586820000000000;1.780000000000000;1.583760000000000;1.757910000000000;8748693.000000000000000;1623055499999;14755610.574790000915527;30600;5124609.000000000000000;8624654.027820000424981;0
10;1623055500000;1.757770000000000;1.873000000000000;1.690000000000000;1.859900000000000;14610555.000000000000000;1623056399999;26199535.908410001546144;53753;8052526.000000000000000;14444858.585470000281930;0
11;1623056400000;1.861850000000000;2.556550000000000;1.859900000000000;2.269770000000000;36673750.000000000000000;1623057299999;81580885.247439995408058;132823;18896393.000000000000000;41942260.824419997632504;0
12;1623057300000;2.269770000000000;2.330000000000000;2.020000000000000;2.089020000000000;23077584.000000000000000;1623058199999;49117085.563560001552105;87970;11843307.000000000000000;25238245.095849998295307;0
13;1623058200000;2.086550000000000;2.120000000000000;1.886220000000000;1.950000000000000;19052376.000000000000000;1623059099999;37569107.751780003309250;69746;8373510.000000000000000;16543847.746309999376535;0
14;1623059100000;1.945220000000000;2.075740000000000;1.886220000000000;1.917700000000000;15704493.000000000000000;1623059999999;31114261.872960001230240;65816;8736328.000000000000000;17362724.082159999758005;0
15;1623060000000;1.916090000000000;2.040000000000000;1.900000000000000;1.992620000000000;8714322.000000000000000;1623060899999;17171245.238320000469685;42063;5059474.000000000000000;9982722.287259999662638;0
16;1623060900000;1.995560000000000;2.110000000000000;1.940000000000000;1.975840000000000;11086848.000000000000000;1623061799999;22419469.078579999506474;54741;5569316.000000000000000;11285279.678039999678731;0
17;1623061800000;1.975840000000000;2.010000000000000;1.944840000000000;1.970530000000000;3765789.000000000000000;1623062699999;7454109.417799999937415;21729;1810295.000000000000000;3586461.036580000072718;0
18;1623062700000;1.970000000000000;1.974350000000000;1.926000000000000;1.964320000000000;2587151.000000000000000;1623063599999;5053440.740919999778271;17153;1322482.000000000000000;2586766.689859999809414;0
19;1623063600000;1.964650000000000;1.965000000000000;1.905000000000000;1.947260000000000;2055088.000000000000000;1623064499999;3978854.746350000146776;16175;849766.000000000000000;1646894.068230000091717;0
20;1623064500000;1.947250000000000;1.949050000000000;1.823110000000000;1.825620000000000;5361733.000000000000000;1623065399999;10037485.516720000654459;27092;1990711.000000000000000;3722353.699049999937415;0
21;1623065400000;1.826890000000000;1.907880000000000;1.825020000000000;1.853480000000000;4499232.000000000000000;1623066299999;8388803.460429999977350;25853;2511660.000000000000000;4687676.488219999708235;0
22;1623066300000;1.853470000000000;1.853490000000000;1.745250000000000;1.773060000000000;5884717.000000000000000;1623067199999;10503502.291489999741316;27683;2481435.000000000000000;4424158.395259999670088;0
23;1623067200000;1.773000000000000;1.832880000000000;1.733330000000000;1.749990000000000;3830111.000000000000000;1623068099999;6807225.468319999985397;20336;1870888.000000000000000;3331859.992509999778122;0
24;1623068100000;1.749110000000000;1.788540000000000;1.740000000000000;1.769650000000000;2298494.000000000000000;1623068999999;4058416.509459999855608;15359;1294767.000000000000000;2287387.210090000182390;0
25;1623069000000;1.769970000000000;1.890570000000000;1.763850000000000;1.853280000000000;7212556.000000000000000;1623069899999;13374310.587670000270009;39565;4043824.000000000000000;7495020.187230000272393;0
26;1623069900000;1.852590000000000;1.876170000000000;1.767000000000000;1.819810000000000;5762745.000000000000000;1623070799999;10475893.903990000486374;25421;3116141.000000000000000;5670799.895680000074208;0
27;1623070800000;1.819000000000000;1.821000000000000;1.782000000000000;1.804020000000000;1757942.000000000000000;1623071699999;3166170.429039999842644;11239;859269.000000000000000;1548218.869160000002012;0
