;Open_time;Open;High;Low;Close;Volume;Close_time;Quote_asset_volume;N_trades;Taker_buy_base_vol;Taker_buy_quote_vol;Ignore
0;1621815300000;269.000000000000000;273.889999999999986;267.540000000000020;272.449999999999989;74829.152900000000955;1621816199999;20329801.821419000625610;22665;38070.804700000000594;10342561.823401000350714;0
1;1621816200000;272.439999999999998;272.589999999999975;263.790000000000020;264.889999999999986;70116.266499999997905;1621817099999;18770419.137143000960350;18938;34398.545899999997346;9210452.696236999705434;0
2;1621817100000;264.889999999999986;269.000000000000000;264.860000000000014;266.939999999999998;46791.988100000002305;1621817999999;12492146.290657000616193;13589;23832.599900000001071;6362013.426086000166833;0
3;1621818000000;266.959999999999980;268.980000000000018;257.399999999999977;258.189999999999998;78994.543600000004517;1621818899999;20798970.774716999381781;20598;38880.998200000001816;10238670.936348000541329;0
4;1621818900000;258.170000000000016;265.300000000000011;257.920000000000016;265.009999999999991;67986.239499999996042;1621819799999;17822582.618092000484467;20079;34585.393300000003364;9068907.489979999139905;0
5;1621819800000;265.019999999999982;269.740000000000009;263.230000000000018;268.170000000000016;57511.181499999998778;1621820699999;15348158.344553999602795;15665;31673.552100000000792;8454203.872089000418782;0
6;1621820700000;268.180000000000007;270.000000000000000;266.110000000000014;266.480000000000018;44361.219499999999243;1621821599999;11898779.055663000792265;13504;22455.938200000000506;6025569.371456000022590;0
7;1621821600000;266.480000000000018;269.629999999999995;262.480000000000018;266.350000000000023;54237.487099999998463;1621822499999;14429687.268454000353813;20493;27664.326099999998405;7363590.776362000033259;0
8;1621822500000;266.350000000000023;272.000000000000000;265.730000000000018;271.290000000000020;47924.442000000002736;1621823399999;12915334.618621999397874;20227;27941.319200000001729;7530545.575748000293970;0
9;1621823400000;271.290000000000020;272.740000000000009;266.329999999999984;267.970000000000027;56227.983599999999569;1621824299999;15112901.967736000195146;17667;27219.774300000000949;7320413.275519999675453;0
10;1621824300000;267.889999999999986;271.019999999999982;266.750000000000000;270.389999999999986;37780.459799999996903;1621825199999;10178227.903618000447750;13258;18992.533200000001671;5118047.812437999993563;0
11;1621825200000;270.399999999999977;276.639999999999986;268.860000000000014;274.490000000000009;77614.787500000005821;1621826099999;21221409.190788999199867;24762;40510.053599999999278;11080542.647880999371409;0
12;1621826100000;274.399999999999977;282.430000000000007;274.240000000000009;280.579999999999984;92779.314899999997579;1621826999999;25890233.023850999772549;27481;46275.462099999997008;12909466.548637999221683;0
13;1621827000000;280.629999999999995;280.990000000000009;275.069999999999993;275.589999999999975;61156.542800000002899;1621827899999;17015419.422602999955416;17531;25591.350600000001577;7122302.743146000429988;0
14;1621827900000;275.589999999999975;277.310000000000002;272.889999999999986;273.480000000000018;50566.844700000001467;1621828799999;13883911.099108999595046;14795;24170.795300000001589;6638742.051745999604464;0
15;1621828800000;273.480000000000018;277.550000000000011;272.899999999999977;275.850000000000023;57733.422800000000279;1621829699999;15888875.096006000414491;15289;29876.946700000000419;8223372.224991999566555;0
16;1621829700000;275.850000000000023;277.290000000000020;273.129999999999995;273.600000000000023;34061.187899999997171;1621830599999;9372447.563168000429869;11743;17537.577199999999721;4826041.709138999693096;0
17;1621830600000;273.589999999999975;277.009999999999991;264.550000000000011;264.930000000000007;89669.461100000000442;1621831499999;24270093.521154999732971;25100;39951.003299999996671;10815007.545827999711037;0
18;1621831500000;264.930000000000007;270.819999999999993;264.300000000000011;269.350000000000023;83737.321100000001024;1621832399999;22466123.420060001313686;26928;47287.899700000001758;12688133.103736000135541;0
19;1621832400000;269.350000000000023;278.899999999999977;269.279999999999973;277.339999999999975;74591.710200000001350;1621833299999;20512786.665231000632048;27396;39640.209600000001956;10906587.949286000803113;0
20;1621833300000;277.319999999999993;277.410000000000025;272.680000000000007;273.139999999999986;46685.752999999996973;1621834199999;12821308.311749000102282;17858;23884.177599999999074;6560765.063032000325620;0
21;1621834200000;273.129999999999995;273.569999999999993;268.480000000000018;270.779999999999973;61889.926200000001700;1621835099999;16761926.807848999276757;19948;30674.433600000000297;8309720.015894999727607;0
22;1621835100000;270.769999999999982;276.410000000000025;270.759999999999991;275.850000000000023;40367.883500000003551;1621835999999;11060336.953404000028968;17735;20977.168499999999767;5748604.589762999676168;0
23;1621836000000;275.839999999999975;276.199999999999989;269.490000000000009;273.639999999999986;68286.134900000004563;1621836899999;18585249.797788001596928;21768;34675.404300000001967;9437048.122052999213338;0
24;1621836900000;273.649999999999977;276.000000000000000;271.000000000000000;274.319999999999993;68813.535799999997835;1621837799999;18828938.705053001642227;20366;35148.098899999997229;9617114.741445999592543;0
25;1621837800000;274.310000000000002;279.360000000000014;272.000000000000000;276.870000000000005;74961.799899999998161;1621838699999;20651992.987397000193596;21262;41408.118099999999686;11402707.390873000025749;0
26;1621838700000;276.889999999999986;283.000000000000000;276.589999999999975;282.860000000000014;73389.866699999998673;1621839599999;20501024.868477001786232;21970;40137.432600000000093;11215389.340506000444293;0
27;1621839600000;282.860000000000014;290.790000000000020;282.660000000000025;288.110000000000014;155830.736100000009174;1621840499999;44768806.261473000049591;43056;85692.419299999994109;24615788.822937998920679;0
28;1621840500000;288.160000000000025;290.990000000000009;285.240000000000009;287.009999999999991;77968.219899999996414;1621841399999;22455134.461419001221657;25552;39111.109799999998359;11262851.933740999549627;0
29;1621841400000;287.000000000000000;297.000000000000000;286.990000000000009;295.060000000000002;125785.961899999994785;1621842299999;36942733.611331000924110;37549;70138.475399999995716;20595976.649539999663830;0
30;1621842300000;295.160000000000025;297.290000000000020;290.269999999999982;296.050000000000011;103637.004799999995157;1621843199999;30474735.927528001368046;34246;54061.033300000002782;15900855.042323999106884;0
31;1621843200000;296.050000000000011;297.920000000000016;290.860000000000014;296.639999999999986;101657.888699999995879;1621844099999;29896331.859111998230219;30555;53225.949500000002445;15667662.864377999678254;0
32;1621844100000;296.589999999999975;299.000000000000000;289.250000000000000;289.639999999999986;126189.486499999999069;1621844999999;37229757.113879002630711;42025;63804.724099999999453;18843315.044638998806477;0
33;1621845000000;289.649999999999977;293.850000000000023;287.660000000000025;293.399999999999977;83950.699299999992945;1621845899999;24355721.932558998465538;29746;42236.466099999997823;12252957.572259999811649;0
34;1621845900000;293.399999999999977;298.000000000000000;291.660000000000025;296.100000000000023;57586.515599999998813;1621846799999;16977358.839884001761675;22556;30226.323199999998906;8914209.771764999255538;0
35;1621846800000;296.089999999999975;296.120000000000005;288.620000000000005;288.850000000000023;59641.910600000002887;1621847699999;17397317.142567999660969;22810;26309.412100000001374;7674801.673777000047266;0
36;1621847700000;288.860000000000014;293.529999999999973;288.540000000000020;289.709999999999980;65892.199399999997695;1621848599999;19155420.723896998912096;21257;32021.166900000000169;9311167.689176000654697;0
37;1621848600000;289.600000000000023;293.740000000000009;289.189999999999998;293.500000000000000;50581.192600000002130;1621849499999;14779172.995901999995112;18882;28432.251199999998789;8309419.538346000015736;0
38;1621849500000;293.490000000000009;293.569999999999993;285.920000000000016;286.459999999999980;84815.901700000002165;1621850399999;24505633.157701998949051;27943;41994.926099999996950;12136887.657533999532461;0
39;1621850400000;286.410000000000025;293.930000000000007;284.819999999999993;291.480000000000018;85346.597399999998743;1621851299999;24794431.561829000711441;26070;41184.502800000002026;11972290.539178000763059;0
40;1621851300000;291.560000000000002;295.990000000000009;290.420000000000016;291.899999999999977;67980.189199999993434;1621852199999;19933883.011080000549555;24297;33687.597600000000966;9882064.559121999889612;0
41;1621852200000;291.910000000000025;292.259999999999991;286.000000000000000;290.779999999999973;109669.301200000001700;1621853099999;31651412.108543999493122;27509;46087.887300000002142;13300187.452114999294281;0
42;1621853100000;290.790000000000020;293.800000000000011;286.810000000000002;292.990000000000009;60049.259200000000419;1621853999999;17466994.198979999870062;19703;31088.801400000000285;9049088.787629000842571;0
43;1621854000000;292.980000000000018;304.319999999999993;292.259999999999991;298.139999999999986;155394.163900000014110;1621854899999;46574202.527888000011444;48743;80622.826900000000023;24134194.805856999009848;0
44;1621854900000;298.220000000000027;306.279999999999973;297.829999999999984;305.660000000000025;91222.140599999998813;1621855799999;27452493.633490998297930;28710;48432.779600000001665;14584606.415449000895023;0
45;1621855800000;305.699999999999989;310.860000000000014;303.269999999999982;308.000000000000000;139383.731499999994412;1621856699999;42943586.850304998457432;49966;68083.145000000004075;20974411.178594999015331;0
46;1621856700000;307.949999999999989;313.000000000000000;305.000000000000000;306.250000000000000;118228.451700000005076;1621857599999;36545784.765529997646809;44840;56855.108500000002095;17577580.324629001319408;0
47;1621857600000;306.240000000000009;309.029999999999973;303.529999999999973;305.720000000000027;101802.191300000005867;1621858499999;31146341.735801000148058;37496;50304.855400000000373;15389183.721819000318646;0
48;1621858500000;305.720000000000027;315.000000000000000;304.259999999999991;314.360000000000014;92259.347899999993388;1621859399999;28514893.743811998516321;37112;45572.356899999998859;14091862.326683999970555;0
49;1621859400000;314.300000000000011;320.800000000000011;314.180000000000007;317.199999999999989;168241.644499999994878;1621860299999;53488336.542875997722149;51294;84939.677299999995739;27014768.183304000645876;0
50;1621860300000;317.160000000000025;318.720000000000027;312.699999999999989;315.529999999999973;101828.080400000006193;1621861199999;32159348.776202000677586;30741;47337.819499999997788;14953042.674497000873089;0
51;1621861200000;315.519999999999982;318.910000000000025;306.860000000000014;311.089999999999975;128862.790699999997742;1621862099999;40273632.471592001616955;39649;63163.877500000002328;19727541.361393999308348;0
52;1621862100000;311.110000000000014;311.620000000000005;302.230000000000018;308.209999999999980;125503.660999999992782;1621862999999;38401331.375348001718521;43602;63275.044800000003306;19365006.805256001651287;0
53;1621863000000;308.209999999999980;314.079999999999984;308.079999999999984;309.980000000000018;95912.198099999994156;1621863899999;29896888.989266999065876;31888;51326.888599999998405;16000658.773073999211192;0
54;1621863900000;309.870000000000005;314.410000000000025;306.149999999999977;308.610000000000014;86123.944900000002235;1621864799999;26691220.060674998909235;33127;44190.594199999999546;13696465.355598000809550;0
55;1621864800000;308.620000000000005;314.199999999999989;308.480000000000018;313.779999999999973;81950.736199999999371;1621865699999;25538710.454091001302004;41502;47028.310299999997369;14659073.901326000690460;0
56;1621865700000;313.779999999999973;316.000000000000000;309.839999999999975;311.230000000000018;86988.011199999993551;1621866599999;27208910.078441001474857;29094;43782.114300000001094;13701177.743607999756932;0
