;Open_time;Open;High;Low;Close;Volume;Close_time;Quote_asset_volume;N_trades;Taker_buy_base_vol;Taker_buy_quote_vol;Ignore
0;1621815300000;1.337000000000000;1.359300000000000;1.330100000000000;1.344700000000000;10428731.189999999478459;1621816199999;14041463.995834000408649;16898;5135218.389999999664724;6914533.319648999720812;0
1;1621816200000;1.344600000000000;1.344900000000000;1.297800000000000;1.299200000000000;11070972.380000000819564;1621817099999;14588393.911160999909043;19652;4956238.620000000111759;6534681.728536999784410;0
2;1621817100000;1.299600000000000;1.319900000000000;1.297900000000000;1.314500000000000;7818446.959999999962747;1621817999999;10231918.303818000480533;15024;4070766.040000000037253;5328636.734160999767482;0
3;1621818000000;1.313600000000000;1.319700000000000;1.247600000000000;1.265700000000000;14004649.060000000521541;1621818899999;18078160.114236000925303;24471;5898344.509999999776483;7622647.436064999550581;0
4;1621818900000;1.264300000000000;1.300400000000000;1.264100000000000;1.300300000000000;9812045.330000000074506;1621819799999;12603473.738140000030398;19436;5584484.580000000074506;7172954.865255000069737;0
5;1621819800000;1.300300000000000;1.324600000000000;1.289500000000000;1.314300000000000;8468612.919999999925494;1621820699999;11090809.686645999550819;18871;4663732.469999999739230;6110547.125757000409067;0
6;1621820700000;1.314300000000000;1.322100000000000;1.300900000000000;1.303000000000000;7352180.240000000223517;1621821599999;9649947.271539999172091;13199;3468289.020000000018626;4552570.568057999946177;0
7;1621821600000;1.303200000000000;1.326000000000000;1.296700000000000;1.318700000000000;7926627.049999999813735;1621822499999;10388395.822389999404550;17429;4019021.220000000204891;5267437.763795999810100;0
8;1621822500000;1.318700000000000;1.353700000000000;1.315600000000000;1.350800000000000;11504142.400000000372529;1621823399999;15359986.929534999653697;23029;5878020.709999999962747;7848219.100599999539554;0
9;1621823400000;1.351100000000000;1.361700000000000;1.325100000000000;1.333800000000000;9682141.970000000670552;1621824299999;12992684.040907999500632;19247;4976080.259999999776483;6681174.903866999782622;0
10;1621824300000;1.335000000000000;1.366800000000000;1.326500000000000;1.363300000000000;7889565.830000000074506;1621825199999;10639529.584775999188423;17180;3921215.899999999906868;5291112.911202999763191;0
11;1621825200000;1.362600000000000;1.380000000000000;1.352300000000000;1.369800000000000;10977132.279999999329448;1621826099999;15047244.698578000068665;21311;5732842.280000000260770;7860579.113931000232697;0
12;1621826100000;1.369700000000000;1.400000000000000;1.364300000000000;1.390800000000000;15601999.359999999403954;1621826999999;21598907.854889001697302;27074;8715914.070000000298023;12074570.851313000544906;0
13;1621827000000;1.391000000000000;1.392200000000000;1.357000000000000;1.359300000000000;9387920.820000000298023;1621827899999;12877635.568896999582648;17116;4422666.349999999627471;6068611.853807000443339;0
14;1621827900000;1.359500000000000;1.378200000000000;1.355300000000000;1.369300000000000;6788192.969999999739230;1621828799999;9279529.440214000642300;13126;3593683.399999999906868;4915295.155546000227332;0
15;1621828800000;1.369100000000000;1.388900000000000;1.354600000000000;1.367200000000000;7395926.959999999962747;1621829699999;10134384.156639000400901;14437;3575752.589999999850988;4898623.818694000132382;0
16;1621829700000;1.367700000000000;1.368000000000000;1.348100000000000;1.350200000000000;8849480.449999999254942;1621830599999;11993576.127412000671029;12853;3550968.040000000037253;4813569.465606999583542;0
17;1621830600000;1.350200000000000;1.366600000000000;1.307000000000000;1.311300000000000;13795921.050000000745058;1621831499999;18445659.806961998343468;22509;6332605.080000000074506;8471707.289498999714851;0
18;1621831500000;1.312000000000000;1.351600000000000;1.310900000000000;1.345700000000000;10807773.869999999180436;1621832399999;14457650.838145999237895;18756;5746759.049999999813735;7688403.569288999773562;0
19;1621832400000;1.345700000000000;1.379900000000000;1.345700000000000;1.376900000000000;11025479.320000000298023;1621833299999;15059858.603289000689983;20416;6834031.080000000074506;9336313.284562999382615;0
20;1621833300000;1.377300000000000;1.378000000000000;1.359900000000000;1.368800000000000;5180185.820000000298023;1621834199999;7084322.659986999817193;11568;2694895.100000000093132;3685983.328021999914199;0
21;1621834200000;1.369400000000000;1.372500000000000;1.346000000000000;1.353800000000000;7325541.059999999590218;1621835099999;9938636.687328999862075;13801;3694814.779999999795109;5013022.420628000050783;0
22;1621835100000;1.353800000000000;1.375000000000000;1.353300000000000;1.372200000000000;4314795.809999999590218;1621835999999;5889889.142601000145078;10358;2332957.759999999776483;3184396.030358999967575;0
23;1621836000000;1.371800000000000;1.376600000000000;1.345500000000000;1.361900000000000;7448195.179999999701977;1621836899999;10126770.606747999787331;13440;3647973.359999999869615;4961732.565352000296116;0
24;1621836900000;1.362300000000000;1.378000000000000;1.352600000000000;1.369700000000000;7561941.150000000372529;1621837799999;10322332.474454000592232;13348;4137349.200000000186265;5651103.566665999591351;0
25;1621837800000;1.369700000000000;1.388600000000000;1.365800000000000;1.379800000000000;9172899.699999999254942;1621838699999;12620067.855169000104070;16428;4589850.049999999813735;6317090.794253000058234;0
26;1621838700000;1.379800000000000;1.397800000000000;1.376800000000000;1.396600000000000;9515695.130000000819564;1621839599999;13186118.234154000878334;16364;5243084.410000000149012;7268344.160974999889731;0
27;1621839600000;1.396200000000000;1.459700000000000;1.395600000000000;1.446500000000000;28167565.250000000000000;1621840499999;40377149.733332000672817;51325;16322213.130000000819564;23383832.100542001426220;0
28;1621840500000;1.445900000000000;1.454600000000000;1.426500000000000;1.445000000000000;14979184.490000000223517;1621841399999;21584233.154899001121521;24383;8421395.960000000894070;12136204.409857999533415;0
29;1621841400000;1.444800000000000;1.484600000000000;1.444500000000000;1.476300000000000;19747818.149999998509884;1621842299999;29010297.925099998712540;36235;11807958.880000000819564;17350969.301247000694275;0
30;1621842300000;1.476300000000000;1.492000000000000;1.457200000000000;1.482800000000000;15780225.109999999403954;1621843199999;23316457.179386999458075;30369;8548184.560000000521541;12633369.577477000653744;0
31;1621843200000;1.482700000000000;1.489900000000000;1.447300000000000;1.477400000000000;16647009.339999999850988;1621844099999;24439278.577771998941898;30489;8602967.759999999776483;12635457.972647000104189;0
32;1621844100000;1.477000000000000;1.485400000000000;1.441700000000000;1.445500000000000;14035164.400000000372529;1621844999999;20543656.215890999883413;25553;6693007.660000000149012;9800829.288890000432730;0
33;1621845000000;1.446700000000000;1.461100000000000;1.430300000000000;1.456200000000000;14374786.189999999478459;1621845899999;20756184.920205999165773;25015;7652865.799999999813735;11051436.964632000774145;0
34;1621845900000;1.455600000000000;1.478500000000000;1.454800000000000;1.468300000000000;11806337.660000000149012;1621846799999;17337258.638429999351501;21051;6123905.620000000111759;8993126.796452000737190;0
35;1621846800000;1.468400000000000;1.468800000000000;1.433500000000000;1.436400000000000;9340876.759999999776483;1621847699999;13546637.987262999638915;21408;4624531.450000000186265;6707368.395072000101209;0
36;1621847700000;1.436500000000000;1.454900000000000;1.436200000000000;1.450200000000000;7674417.990000000223517;1621848599999;11115181.462353000417352;20697;3895051.240000000223517;5640622.854457000270486;0
37;1621848600000;1.450200000000000;1.465000000000000;1.443200000000000;1.463500000000000;8528430.289999999105930;1621849499999;12437987.591421000659466;19661;4525250.450000000186265;6601569.009658000431955;0
38;1621849500000;1.463500000000000;1.463600000000000;1.422300000000000;1.432000000000000;10389197.029999999329448;1621850399999;14959340.442825999110937;25395;4376196.959999999962747;6306930.039207999594510;0
39;1621850400000;1.432000000000000;1.461600000000000;1.431800000000000;1.452500000000000;8611236.560000000521541;1621851299999;12512921.264635000377893;17557;4953662.179999999701977;7198990.201480000279844;0
40;1621851300000;1.452700000000000;1.470000000000000;1.437900000000000;1.443200000000000;9244419.410000000149012;1621852199999;13425131.992001999169588;19039;4928285.959999999962747;7160708.807458000257611;0
41;1621852200000;1.443200000000000;1.444600000000000;1.406100000000000;1.432200000000000;15638651.199999999254942;1621853099999;22250220.420954998582602;28807;7416034.910000000149012;10554303.027107000350952;0
42;1621853100000;1.432000000000000;1.453300000000000;1.418700000000000;1.451700000000000;8820114.730000000447035;1621853999999;12684446.699177000671625;17945;4725718.929999999701977;6799326.137632999569178;0
43;1621854000000;1.451600000000000;1.477600000000000;1.446900000000000;1.456800000000000;14331534.669999999925494;1621854899999;21004917.363030999898911;28883;7781955.190000000409782;11409828.056041000410914;0
44;1621854900000;1.457100000000000;1.471800000000000;1.454600000000000;1.471300000000000;8418599.750000000000000;1621855799999;12299434.877381000667810;15778;4795269.740000000223517;7007098.096203000284731;0
45;1621855800000;1.470900000000000;1.491000000000000;1.460100000000000;1.486100000000000;16040904.529999999329448;1621856699999;23773215.603659000247717;29399;9169006.679999999701977;13591899.590658999979496;0
46;1621856700000;1.486400000000000;1.504200000000000;1.475000000000000;1.484200000000000;15422874.500000000000000;1621857599999;22985832.383544001728296;28049;9101153.490000000223517;13567931.725812999531627;0
47;1621857600000;1.484400000000000;1.489900000000000;1.465100000000000;1.478500000000000;10089509.009999999776483;1621858499999;14894138.281610000878572;26094;5061498.519999999552965;7472266.511583999730647;0
48;1621858500000;1.479300000000000;1.504300000000000;1.470000000000000;1.502200000000000;11233980.849999999627471;1621859399999;16723926.627012999728322;28981;6773596.019999999552965;10091041.805687999352813;0
49;1621859400000;1.500900000000000;1.549400000000000;1.500900000000000;1.534000000000000;22445893.489999998360872;1621860299999;34308195.307081997394562;53716;11411078.839999999850988;17439235.701579999178648;0
50;1621860300000;1.534700000000000;1.544200000000000;1.510900000000000;1.512200000000000;15644441.720000000670552;1621861199999;23838449.492973998188972;35293;7594241.330000000074506;11572307.463407000526786;0
51;1621861200000;1.512100000000000;1.523900000000000;1.477000000000000;1.492000000000000;16492853.470000000670552;1621862099999;24709956.951499998569489;33222;8274342.559999999590218;12392830.837595000863075;0
52;1621862100000;1.492400000000000;1.494000000000000;1.447400000000000;1.471500000000000;18780541.609999999403954;1621862999999;27481390.048847999423742;36346;9121917.480000000447035;13343748.274472000077367;0
53;1621863000000;1.471500000000000;1.495100000000000;1.470700000000000;1.473000000000000;12826237.849999999627471;1621863899999;19048477.171429999172688;27403;6520364.309999999590218;9685807.117359999567270;0
54;1621863900000;1.473200000000000;1.490400000000000;1.457000000000000;1.466300000000000;11424361.519999999552965;1621864799999;16817467.935219999402761;24398;5669843.769999999552965;8351107.358943999744952;0
55;1621864800000;1.465800000000000;1.501900000000000;1.465500000000000;1.501100000000000;8669091.550000000745058;1621865699999;12874537.815717000514269;20673;4934394.370000000111759;7329495.181410999968648;0
56;1621865700000;1.501000000000000;1.507500000000000;1.483200000000000;1.486400000000000;10360972.449999999254942;1621866599999;15482653.417230999097228;21923;4757419.790000000037253;7110652.032669999636710;0
57;1621866600000;1.486400000000000;1.491500000000000;1.460000000000000;1.484400000000000;10167452.560000000521541;1621867499999;14983723.019466999918222;21774;5112050.080000000074506;7536986.395942999981344;0
58;1621867500000;1.484200000000000;1.491400000000000;1.469200000000000;1.489600000000000;7481916.139999999664724;1621868399999;11093102.320472000166774;16689;3598200.660000000149012;5334485.681788999587297;0
59;1621868400000;1.489400000000000;1.505000000000000;1.469300000000000;1.489100000000000;10483967.439999999478459;1621869299999;15610761.221091000363231;21155;5172281.259999999776483;7704766.922030000016093;0
60;1621869300000;1.489300000000000;1.503300000000000;1.479000000000000;1.499400000000000;8573342.490000000223517;1621870199999;12807554.939657000824809;17129;4582319.509999999776483;6845545.845586000010371;0
61;1621870200000;1.499300000000000;1.522300000000000;1.499000000000000;1.510800000000000;11046994.320000000298023;1621871099999;16697281.728716999292374;21758;5507265.809999999590218;8324542.240694999694824;0
62;1621871100000;1.510800000000000;1.511200000000000;1.489000000000000;1.504400000000000;8908363.029999999329448;1621871999999;13347393.959682000800967;16108;4515257.639999999664724;6766457.647179000079632;0
63;1621872000000;1.504000000000000;1.519800000000000;1.472600000000000;1.472600000000000;15443056.380000000819564;1621872899999;23056268.885267000645399;27010;7842564.059999999590218;11713715.936672000214458;0
64;1621872900000;1.473000000000000;1.481900000000000;1.436200000000000;1.456900000000000;16979911.859999999403954;1621873799999;24663106.749010998755693;31891;8161667.240000000223517;11851182.115705000236630;0
65;1621873800000;1.456900000000000;1.484600000000000;1.446200000000000;1.481800000000000;10053643.089999999850988;1621874699999;14739452.271554000675678;20608;5274806.620000000111759;7734092.643459999933839;0
66;1621874700000;1.481900000000000;1.484600000000000;1.468100000000000;1.475000000000000;5263787.330000000074506;1621875599999;7771760.585749000310898;12665;2492041.029999999795109;3679674.331652999855578;0
67;1621875600000;1.474900000000000;1.481600000000000;1.456800000000000;1.477700000000000;7486567.309999999590218;1621876499999;10998030.382077999413013;15027;3386292.129999999888241;4977531.236192000098526;0
68;1621876500000;1.477800000000000;1.498700000000000;1.472700000000000;1.488800000000000;7942003.419999999925494;1621877399999;11821512.052334999665618;19098;4317234.980000000447035;6427126.609236000105739;0
69;1621877400000;1.488800000000000;1.492000000000000;1.475400000000000;1.490800000000000;5407849.580000000074506;1621878299999;8017010.780693000182509;13263;2672960.169999999925494;3962539.144840999972075;0
70;1621878300000;1.491500000000000;1.508200000000000;1.483200000000000;1.505900000000000;7784228.580000000074506;1621879199999;11663865.923660999163985;17166;4053543.950000000186265;6075790.879513000138104;0
